Marca temporal,Especifique su sexo.,Seleccione el rango de edad.,¿Cuántas horas suele dormir al día?,¿Cuántas horas suele dormir cuando hay examen?,"¿Cuál es tu promedio académico? Ingrese la respuesta incluyendo decimales, por ejemplo: 8.3","En caso de dormir menos cuando hay examen, las horas que duermes menos ¿Se las dedicas al estudio? ","Si respondiste sí a la pregunta anterior, ¿Cuántas horas le dedicas al estudio en lugar de dormir?",¿En que semestre te encuentras?,¿Cuántas horas de estudio dedicas a una materia cuando hay examen (a la semana)?,¿A que facultad/carrera perteneces?,¿Has reprobado alguna materia?,"Si respondiste que sí a la pregunta anterior, ¿a qué crees que se debió?",¿Eres foráneo?,¿Suele despertarse mientras duerme?,"Cuando te despiertas por la mañana, ¿recuerdas haber soñado?","En una escala del 1 al 10, ¿qué tan descansado/a te sientes al despertar?",¿Has recursado o estás recursando alguna materia?,Columna 17,Columna 14,Columna 13,Columna 13
14/05/2026 14:52:51,Femenino,19 - 20 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,8.7,Sí,Entre 2 y 3,4,Entre 1 y 2,FCCA,No,no he reprobado,No,4,3,7,No,,,,
14/05/2026 14:56:54,Femenino,19 - 20 años,Entre 6 h y 7.5 h,Entre 6 h y 7.5 h,8.5,Sí,Entre 2 y 3,4,Entre 2 y 3,FCCA,Sí,al profe jajaa,No,3,5,8,No,,,,
14/05/2026 15:18:57,Femenino,20 - 22 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,7.9,Sí,Más de 5,4,Entre 1 y 2,FCMB,Sí,Ambas,No,3,1,6,No,,,,
14/05/2026 19:46:14,Masculino,17 - 18 años,Entre 4.5 h y 6 h,Menos de 4.5 h,8.6,Sí,Entre 2 y 3,2,Entre 6 y 7,FISMAT,Sí,No estudiar lo suficiente,Sí,1,4,3,No,,,,
14/05/2026 19:46:16,Masculino,20 - 22 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,7.3,Sí,Entre 1 y 2,4,Entre 5 y 6,FISMAT,Sí,No estudiar lo suficiente,Sí,2,5,6,Sí,,,,
14/05/2026 19:46:25,Masculino,17 - 18 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,9.6,Sí,Entre 2 y 3,2,Más de 7,FISMAT,No,No he reprobado ninguna materia (todavía),No,3,2,8,No,,,,
14/05/2026 19:47:13,Masculino,17 - 18 años,Entre 4.5 h y 6 h,Menos de 4.5 h,4,Sí,Más de 5,2,Más de 7,FISMAT,Sí,No estudiar lo suficiente,No,4,1,2,No,,,,
14/05/2026 19:47:28,Femenino,17 - 18 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,9.4,Sí,Entre 1 y 2,2,Entre 3 y 4,FISMAT,No,No he reprobado ,No,2,5,7,No,,,,
14/05/2026 19:47:36,Masculino,20 - 22 años,Entre 4.5 h y 6 h,Menos de 4.5 h,9.01,Sí,Más de 5,6,Más de 7,FISMAT,No,No he reprobado,Sí,2,1,7,No,,,,
14/05/2026 19:48:17,Femenino,20 - 22 años,Más de 9 h,Entre 6 h y 7.5 h,8.5,Sí,Entre 1 y 2,8,Más de 7,FISMAT,Sí,No estudiar lo suficiente,No,2,3,8,No,,,,
14/05/2026 19:50:37,Masculino,Más de 22 años,Entre 7.5 h y 9 h,Entre 7.5 h y 9 h,9.7,Sí,Entre 1 y 2,9,Entre 5 y 6,FISMAT,Sí,Examen no relacionado a los temas estudiados en clase,No,3,4,9,No,,,,
14/05/2026 19:50:40,Masculino,19 - 20 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,8.6,Sí,Entre 1 y 2,4,Más de 7,FISMAT,Sí,No estudiar lo suficiente,No,1,2,6,Sí,,,,
14/05/2026 19:52:09,Masculino,20 - 22 años,Entre 7.5 h y 9 h,Entre 4.5 h y 6 h,7.8,Sí,Entre 2 y 3,2,Más de 7,FISMAT,Sí,Ambas,No,5,4,6,Sí,,,,
14/05/2026 19:52:37,Femenino,20 - 22 años,Entre 4.5 h y 6 h,Menos de 4.5 h,8.53,Sí,Entre 2 y 3,8,Entre 4 y 5,FISMAT,Sí,A que se juntaron muchos exámenes ,No,2,2,6,No,,,,
14/05/2026 19:54:30,Masculino,Más de 22 años,Entre 4.5 h y 6 h,Entre 6 h y 7.5 h,8.9,No,,Terminé la carrera ,Entre 6 y 7,FISMAT,Sí,No estudiar lo suficiente,Sí,1,3,6,No,,,,
14/05/2026 19:55:14,Masculino,Más de 22 años,Entre 7.5 h y 9 h,Entre 7.5 h y 9 h,8.99,,,1,Más de 7,FISMAT,Sí,No estudiar lo suficiente,No,3,4,6,Sí,,,,
14/05/2026 19:57:34,Femenino,19 - 20 años,Entre 6 h y 7.5 h,Entre 6 h y 7.5 h,9.0,,,2,Entre 5 y 6,FISMAT,No,No,Sí,3,5,8,No,,,,
14/05/2026 19:57:36,Masculino,20 - 22 años,Entre 6 h y 7.5 h,Entre 7.5 h y 9 h,8.6,No,,4,Entre 3 y 4,FISMAT,No,No,No,4,4,8,No,,,,
14/05/2026 20:02:10,Masculino,19 - 20 años,Entre 6 h y 7.5 h,Entre 6 h y 7.5 h,7.5,Sí,Entre 1 y 2,4,Más de 7,FISMAT,No,No estudiar lo suficiente,No,1,1,8,No,,,,
14/05/2026 20:02:14,Femenino,20 - 22 años,Entre 7.5 h y 9 h,Menos de 4.5 h,8.6,Sí,Entre 4 y 5,8,Más de 7,FISMAT,Sí,Burnout autista,Sí,2,2,5,Sí,,,,
14/05/2026 20:04:07,Masculino,19 - 20 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,9.2,Sí,Entre 2 y 3,4,Más de 7,Facultad de Ingeniería Mecatrónica y Mecánica,No,.,No,1,3,8,No,,,,
14/05/2026 20:04:42,Femenino,Más de 22 años,Menos de 4.5 h,Más de 9 h,6,No,,2,Entre 1 y 2,FISMAT,Sí,No golpear acosadores,Sí,5,5,1,Sí,,,,
14/05/2026 20:05:43,Masculino,19 - 20 años,Entre 6 h y 7.5 h,Entre 6 h y 7.5 h,8.2,No,,4,Más de 7,FISMAT,Sí,Ambas,No,5,1,6,No,,,,
14/05/2026 20:41:16,Femenino,Más de 22 años,Entre 7.5 h y 9 h,Entre 7.5 h y 9 h,8.7,,,9,Entre 5 y 6,FISMAT,Sí,No estudiar lo suficiente,Sí,4,5,7,Sí,,,,
14/05/2026 20:48:54,Masculino,Más de 22 años,Entre 4.5 h y 6 h,Menos de 4.5 h,8.8,Sí,Entre 1 y 2,3,Entre 2 y 3,FISMAT,Sí,No estudiar lo suficiente,No,4,2,2,Sí,,,,
14/05/2026 20:56:08,Masculino,Más de 22 años,Entre 6 h y 7.5 h,Menos de 4.5 h,8.13,Sí,Más de 5,4,Más de 7,FISMAT,Sí,Ambas,No,2,1,4,Sí,,,,
14/05/2026 21:28:37,Masculino,Más de 22 años,Entre 6 h y 7.5 h,Entre 6 h y 7.5 h,8.4,,,12,Más de 7,FISMAT,Sí,Ambas,No,2,2,6,Sí,,,,
14/05/2026 23:35:06,Masculino,20 - 22 años,Entre 4.5 h y 6 h,Menos de 4.5 h,7.9,Sí,Entre 2 y 3,6,Entre 6 y 7,FISMAT,Sí,Ambas,No,4,3,3,Sí,,,,
15/05/2026 0:42:44,Masculino,20 - 22 años,Entre 4.5 h y 6 h,Menos de 4.5 h,≈8,Sí,Entre 2 y 3,4,Entre 5 y 6,FISMAT,Sí,Ambas,No,1,2,7,Sí,,,,
15/05/2026 9:36:00,Masculino,19 - 20 años,Entre 4.5 h y 6 h,Menos de 4.5 h,9.2,Sí,Entre 4 y 5,2,Entre 2 y 3,Facultad de QFB,Sí,No descansar lo suficiente,Sí,4,4,5,No,,,,
15/05/2026 11:08:10,Masculino,19 - 20 años,Entre 7.5 h y 9 h,Entre 6 h y 7.5 h,8.8,Sí,Entre 1 y 2,2,Entre 1 y 2,Facultad de derecho ciencias sociales y humanidades,No,No he reprobado ninguna ,No,2,2,8,No,,,,
15/05/2026 13:18:52,Femenino,19 - 20 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,9.2,Sí,Entre 1 y 2,4,Entre 2 y 3,Facultad de psicología ,No,No descansar lo suficiente,No,3,2,8,No,,,,
18/05/2026 0:10:06,Masculino,19 - 20 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,9.5,Sí,Entre 2 y 3,4,Entre 3 y 4,EESI,No,,No,1,4,7,No,,,,
18/05/2026 9:57:40,Masculino,19 - 20 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,8.6,Sí,Entre 1 y 2,4,Entre 1 y 2,EESI,Sí,No estudiar lo suficiente,No,2,1,8,No,,,,
18/05/2026 9:57:50,Femenino,19 - 20 años,Entre 7.5 h y 9 h,Entre 4.5 h y 6 h,8.8,Sí,Entre 2 y 3,4,Entre 3 y 4,EESI,No,,No,2,2,7,No,,,,
18/05/2026 10:01:17,Masculino,19 - 20 años,Entre 4.5 h y 6 h,Menos de 4.5 h,8.33,Sí,Entre 4 y 5,4,Entre 3 y 4,EESI,No,,Sí,2,3,9,No,,,,
18/05/2026 10:02:52,Masculino,19 - 20 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,7.9,No,,4,Entre 3 y 4,EESI,Sí,No estudiar lo suficiente,Sí,2,5,5,Sí,,,,
18/05/2026 19:11:31,Femenino,20 - 22 años,Entre 4.5 h y 6 h,Menos de 4.5 h,9.6,Sí,Entre 4 y 5,6,Entre 4 y 5,EESI,No,,Sí,3,4,7,No,,,,
18/05/2026 19:24:54,Femenino,20 - 22 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,8.9,No,,6,Entre 3 y 4,Facultad popular de bellas artes ,Sí,No estudiar lo suficiente,Sí,2,1,5,Sí,,,,
18/05/2026 19:31:04,Masculino,19 - 20 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,9.3,,,6,Entre 1 y 2,EESI,No,,No,1,1,6,No,,,,
18/05/2026 19:48:25,Masculino,19 - 20 años,Entre 4.5 h y 6 h,Menos de 4.5 h,9.3,Sí,Más de 5,6,Más de 7,EESI,No,,No,1,4,7,No,,,,
18/05/2026 20:30:39,Masculino,20 - 22 años,Entre 6 h y 7.5 h,Entre 6 h y 7.5 h,9.2,No,,6,Entre 2 y 3,EESI,No,,No,2,2,8,No,,,,
18/05/2026 22:14:03,Femenino,20 - 22 años,Menos de 4.5 h,Menos de 4.5 h,8,Sí,Más de 5,3er año ,Entre 4 y 5,Facultad de Ingeniería Mecatrónica y Mecánica,Sí,No estudiar lo suficiente,Sí,1,3,4,No,,,,
18/05/2026 22:19:27,Femenino,19 - 20 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,9.0,Sí,Entre 2 y 3,6,Entre 4 y 5,FCCA,No,...,Sí,4,2,7,No,,,,
19/05/2026 9:10:09,Masculino,20 - 22 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,9,No,,8,Entre 2 y 3,Facultad de Historia,Sí,Ambas,No,4,3,6,No,,,,
19/05/2026 9:15:02,Masculino,17 - 18 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,8.8,No,,2,Entre 1 y 2,Seguridad pública y ciencias forense ,No,,No,3,2,3,No,,,,
19/05/2026 9:18:43,Femenino,17 - 18 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,9.6,Sí,Entre 1 y 2,2,Entre 4 y 5,FISMAT,No,,No,2,4,7,No,,,,
19/05/2026 9:21:49,Masculino,19 - 20 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,8.1,,,2,Entre 1 y 2,FAUM,No,,No,1,2,6,No,,,,
19/05/2026 9:24:00,Femenino,19 - 20 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,9.2,Sí,Entre 4 y 5,2,Entre 2 y 3,Seguridad Pública y Ciencias Forenses ,No,,No,2,3,7,No,,,,
19/05/2026 9:24:00,Femenino,17 - 18 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,7.3,Sí,Entre 1 y 2,2,Entre 2 y 3,EESI,Sí,No estudiar lo suficiente,Sí,1,3,5,Sí,,,,
19/05/2026 9:25:26,Femenino,17 - 18 años,Menos de 4.5 h,Menos de 4.5 h,9.5,Sí,Entre 1 y 2,2,Entre 4 y 5,EESI,No,,Sí,2,1,3,No,,,,
19/05/2026 9:25:51,Femenino,19 - 20 años,Entre 6 h y 7.5 h,Entre 7.5 h y 9 h,9.1,Sí,Entre 1 y 2,2,Entre 2 y 3,Licenciatura en seguridad pública y ciencias forenses,No,No descansar lo suficiente,Sí,1,1,3,No,,,,
19/05/2026 11:18:12,Femenino,19 - 20 años,Entre 4.5 h y 6 h,Menos de 4.5 h,9,Sí,Entre 1 y 2,6,Entre 2 y 3,EESI,No,,No,5,5,6,No,,,,
19/05/2026 11:18:47,Masculino,19 - 20 años,Menos de 4.5 h,Más de 9 h,8.5,No,,2,Entre 3 y 4,EESI,Sí,No descansar lo suficiente,Sí,1,3,3,Sí,,,,
19/05/2026 11:20:23,Masculino,19 - 20 años,Entre 4.5 h y 6 h,Menos de 4.5 h,1198,Sí,Entre 4 y 5,4,Entre 5 y 6,FISMAT,No,,No,5,2,8,No,,,,
19/05/2026 11:26:51,Femenino,19 - 20 años,Entre 4.5 h y 6 h,Entre 4.5 h y 6 h,7.2,No,Entre 1 y 2,4,Entre 1 y 2,Facultad de Historia,No,No estudiar lo suficiente,No,2,3,6,No,,,,
19/05/2026 11:27:12,Masculino,20 - 22 años,Entre 6 h y 7.5 h,Entre 4.5 h y 6 h,8.0,Sí,Entre 2 y 3,4,Entre 1 y 2,Facultad de Historia,No,,Sí,1,5,1,No,,,,
